yb_1,er_1,tm_1,yb_2,er_2,tm_2,radius,UV,VIS,BLUE,GREEN,RED,TOTAL,ABSORPTION,qe
1.0,0.0,0.0,0.0,0.155,0.845,33.0,0.0,6.25,0.0,0.0,6.25,6.25,43581.244371,1e-06
0.0,0.0,1.0,0.301,0.699,0.0,5.0,24.999981,618.749369,18.749973,143.749857,437.499557,718.74931,3287.497209,0.000281
1.0,0.0,0.0,0.59,0.0,0.41,5.0,0.0,43.749968,0.0,0.0,43.749968,131.249927,12543.744203,3.6e-05
0.0,0.898,0.0,0.0,0.035,0.0,33.0,0.0,49.999603,0.0,12.499988,37.499615,99.99938,856.243474,0.00012
0.0,0.019,0.981,1.0,0.0,0.0,25.0,0.0,24.999997,0.0,0.0,24.999997,112.499984,12193.74821,3e-05
1.0,0.0,0.0,0.0,0.264,0.736,15.0,0.0,0.0,0.0,0.0,0.0,6.249999,4112.494713,8e-06
0.0,0.0,1.0,0.417,0.35,0.233,5.0,24.999988,406.249464,18.749995,62.499905,318.749564,474.999409,5118.743715,0.000163
1.0,0.0,0.0,0.0,0.0,0.537,15.0,0.0,6.249995,0.0,0.0,6.249995,12.499993,9174.994139,2.7e-05
0.417,0.583,0.0,0.087,0.364,0.0,15.0,118.749638,1087.496766,62.499814,387.498942,618.74808,1343.745991,3331.240862,0.001235
0.182,0.818,0.0,1.0,0.0,0.0,29.0,37.499978,793.749591,31.249988,243.749867,493.749751,924.99952,6981.24561,0.000259
0.325,0.521,0.0,0.0,0.579,0.033,15.0,24.999938,337.499047,12.499957,112.499693,199.99943,406.248847,1718.74444,0.000539
0.235,0.765,0.0,0.216,0.148,0.0,15.0,268.749453,2174.99631,112.499834,537.49914,1462.497416,2581.245544,6237.489339,0.001697
0.332,0.666,0.002,0.483,0.323,0.0,15.0,62.499969,931.249336,43.749971,293.749818,574.999548,1093.749222,7924.994332,0.000339
0.254,0.555,0.191,0.211,0.0,0.0,15.0,218.749817,2149.998141,99.99991,224.99982,1718.74848,2724.99759,10031.241626,0.002062
0.334,0.656,0.01,0.227,0.0,0.244,15.0,62.49988,787.498833,81.249928,193.749697,493.749254,981.248574,8124.988314,0.000664
0.003,0.483,0.0,0.249,0.09,0.0,15.0,143.749852,1143.748656,12.499989,356.249586,737.499112,1431.248355,7693.740078,0.00095
0.0,0.665,0.335,0.227,0.266,0.0,15.0,0.0,524.999381,12.499985,87.499898,424.999498,618.749238,2924.996136,0.000391
0.243,0.612,0.0,0.0,0.0,0.0,15.0,256.248614,2137.489063,93.749507,481.247052,1481.24295,2593.736585,1624.992014,0.015534
0.496,0.504,0.0,0.302,0.0,0.0,15.0,1262.499444,4799.997772,368.749813,1337.499376,2818.748688,6431.247008,19274.991105,0.003369
0.511,0.175,0.0,0.262,0.0,0.0,15.0,1149.999,3368.747003,331.249685,956.249097,1843.748451,4731.245708,22731.229306,0.002862
0.715,0.247,0.038,0.608,0.0,0.0,15.0,556.249825,2493.749191,218.749918,487.499831,1681.249476,3412.498873,28387.489996,0.000923
0.331,0.217,0.0,0.654,0.0,0.0,15.0,218.749972,1556.249768,106.249986,449.999931,943.749856,1887.499717,29056.245459,0.000502
0.597,0.048,0.355,0.349,0.0,0.0,15.0,206.249891,1599.999175,43.749991,168.749884,1374.999308,3743.748066,16418.741255,0.001692
0.842,0.158,0.0,0.02,0.0,0.0,15.0,2206.24877,5537.49674,656.249642,1324.999187,3068.748242,8112.4953,12306.242621,0.016548
0.961,0.039,0.0,0.142,0.242,0.0,15.0,193.749873,1237.498943,124.999882,543.749532,524.999547,1599.998662,8481.243232,0.001079
0.607,0.375,0.018,0.0,0.0,0.078,15.0,418.74936,1993.747125,174.999821,437.499461,1312.497956,2706.245948,2937.494538,0.00833
0.061,0.939,0.0,0.744,0.0,0.0,15.0,581.249848,3912.49896,187.499956,849.999778,2681.249277,4731.248727,27874.992529,0.001128
0.147,0.583,0.0,0.264,0.357,0.003,29.0,0.0,331.249239,12.499999,106.249712,212.499528,368.749193,2743.744652,0.000217
0.617,0.109,0.274,1.0,0.0,0.0,29.0,24.999997,599.999803,12.499999,62.499981,512.499824,1006.249675,16281.244692,0.000213
0.0,0.745,0.255,1.0,0.0,0.0,15.0,362.499931,3168.749523,112.49998,518.749929,2443.749631,4056.249389,29299.99614,0.000724
0.855,0.031,0.114,0.163,0.0,0.0,15.0,1893.748601,3006.24789,531.249691,662.499529,1706.248747,7149.994997,19574.986683,0.005655
0.849,0.151,0.0,0.248,0.0,0.0,15.0,1506.249098,4068.747624,499.999704,862.499442,2412.498617,5837.496526,26824.984078,0.003399
0.683,0.0,0.054,0.0,0.0,0.0,15.0,7249.991413,5312.493701,1431.248356,2799.996681,981.248841,16843.729991,14112.482724,0.060756
0.605,0.0,0.094,0.0,0.093,0.0,15.0,337.499561,1243.748456,231.249692,281.249677,712.4991,2918.746398,4699.994274,0.007804
0.767,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,60156.223969,0.0
0.614,0.277,0.109,0.293,0.0,0.0,15.0,887.499529,3818.747993,287.499854,781.249577,2612.498619,5587.496969,16493.740642,0.002919
0.678,0.322,0.0,0.323,0.0,0.0,15.0,1337.499131,4737.496721,468.749687,1237.499107,2724.998122,6343.74566,23024.984494,0.003036
0.662,0.233,0.105,0.313,0.12,0.0,15.0,268.749849,2149.998332,106.249847,456.24967,1518.748856,2824.997903,9518.743344,0.001287
0.469,0.531,0.0,0.519,0.0,0.0,15.0,962.499544,3993.74813,237.49989,1143.749488,2437.498827,5231.247545,25618.737763,0.001686
0.63,0.37,0.0,0.242,0.0,0.0,15.0,1731.2489,5556.246528,474.99971,1443.749068,3237.498017,7512.495316,20212.48756,0.004621
0.69,0.31,0.0,0.379,0.0,0.096,15.0,374.999668,2118.748174,143.749894,412.499633,1449.998744,2843.747529,18824.984657,0.001167
0.581,0.314,0.105,0.149,0.0,0.0,15.0,687.499297,3418.74634,218.749747,587.499311,2474.997421,4737.494976,11756.238047,0.004287
0.379,0.621,0.0,0.747,0.0,0.0,15.0,637.499808,3431.248789,199.999935,731.249728,2337.499187,4268.74852,30924.989115,0.000984
0.558,0.442,0.0,0.301,0.0,0.0,15.0,1349.99927,5018.747227,412.499794,1399.999269,2906.24837,6718.746424,20737.489475,0.003486
0.822,0.05,0.128,0.427,0.0,0.0,15.0,743.749596,2237.499036,268.749906,349.999858,1562.499295,4312.498003,22562.489919,0.001582
0.655,0.345,0.0,0.354,0.0,0.0,15.0,1193.749044,4262.496567,312.499702,1256.24887,2431.248233,5662.495442,22712.481844,0.002507
0.477,0.439,0.084,0.465,0.0,0.0,15.0,806.249618,3743.748002,193.749886,774.999604,2612.498592,5118.747292,21349.988508,0.001819
0.624,0.254,0.122,0.211,0.0,0.0,15.0,793.749449,3699.997372,306.249824,574.999475,2656.248179,5306.246279,14393.739672,0.003615
0.614,0.386,0.0,0.172,0.0,0.0,15.0,1912.497593,5706.243347,543.749354,1562.498087,3287.49629,8243.740152,16087.480599,0.006665
0.595,0.405,0.0,0.163,0.0,0.0,15.0,1781.247692,5418.743059,549.999239,1468.748144,3118.746045,7649.990133,15787.479678,0.006475
0.395,0.605,0.0,0.403,0.0,0.0,15.0,1093.749175,4587.496837,293.749787,1131.249241,2943.747975,6012.495797,21356.235025,0.002461
0.717,0.283,0.0,0.336,0.0,0.0,15.0,1268.74912,4312.497205,349.99975,1218.749231,2474.998383,5787.496173,24681.233771,0.002665
0.569,0.431,0.0,0.157,0.0,0.0,15.0,1687.498065,5168.744591,443.749596,1431.248414,2868.746924,7143.742204,14968.733969,0.006256
0.625,0.375,0.0,0.229,0.102,0.0,15.0,549.999514,2893.747496,199.999851,906.249178,1649.998614,3731.246863,10587.490613,0.002202
0.469,0.531,0.0,0.318,0.0,0.0,15.0,1068.749158,4681.246448,343.749707,1349.998906,2762.497996,6099.995359,19293.73578,0.003054
0.229,0.771,0.0,1.0,0.0,0.0,15.0,581.249893,3224.999367,212.49996,756.249863,2099.999577,4012.499229,35549.993272,0.000706
0.61,0.27,0.12,0.044,0.0,0.0,15.0,374.999126,2256.244413,131.249675,381.248943,1681.245897,3287.492091,5656.23661,0.005911
0.272,0.728,0.0,0.822,0.0,0.124,15.0,206.249982,1968.749828,106.249995,312.499963,1474.999879,2599.999778,24006.247951,0.000548
0.63,0.37,0.0,0.401,0.0,0.0,15.0,1043.749538,4349.998237,337.499841,1124.999479,2668.749016,5706.247644,25199.98969,0.002279
0.427,0.283,0.0,0.274,0.0,0.0,15.0,1024.998968,3799.996386,343.749647,1193.748926,2031.248065,5068.745193,20831.23058,0.002995
0.572,0.428,0.0,0.181,0.0,0.0,15.0,1674.998527,5637.494406,493.749507,1468.748487,3318.746693,7599.992554,15506.234897,0.005947
0.609,0.391,0.0,0.182,0.0,0.0,15.0,1818.748867,5787.496927,518.749746,1499.999244,3349.998214,7893.745602,17031.239826,0.006118
0.67,0.33,0.0,0.252,0.0,0.0,15.0,1324.998877,4962.495983,456.249596,1406.248901,2793.74773,6574.994593,20374.982517,0.00387
0.483,0.517,0.0,0.304,0.0,0.0,15.0,1418.748957,5056.246023,443.749676,1331.248937,3018.747604,6824.994589,19281.235009,0.003559
0.689,0.311,0.0,0.262,0.0,0.0,15.0,1543.749203,4843.747897,449.999795,1312.499463,2731.248807,6581.247027,20512.490625,0.003734
0.388,0.454,0.158,1.0,0.0,0.0,15.0,568.749909,3606.249405,143.749975,543.749915,2793.749537,4737.499233,32699.994556,0.000824
0.757,0.115,0.128,0.325,0.0,0.0,15.0,1031.249168,2574.998099,337.499743,518.749553,1599.998869,5043.746072,21356.234436,0.002362
0.555,0.445,0.0,0.116,0.0,0.0,15.0,1524.998336,5043.744851,368.749603,1393.748559,2906.247088,6843.742902,12781.236731,0.007535
